# Ingenico Desk/5000 (gamme Tetra) - caractéristiques techniques
# A coller dans le champ "Caractéristiques à appliquer" de l'assistant d'import
# (Actions > Importer des caractéristiques, sur la fiche ou la liste produit)
# Format : Catégorie ; Caractéristique ; Valeur

Connectivité ; Réseaux ; 4G, 3G, GPRS, WiFi, Bluetooth, Ethernet, double SIM en option
Connectivité ; Lecteur de carte ; Piste magnétique (ISO 1/2/3), carte à puce EMV niveau 1, sans contact EMV L1 3.0
Connectivité ; Ports ; Ethernet, connexion à un PIN pad Desk/1600 pour le paiement déporté
Écran ; Taille ; Écran couleur rétroéclairé 3,5 pouces
Écran ; Résolution ; 480 x 320 pixels (HVGA)
Système ; Système d'exploitation ; Telium TETRA
Système ; Processeur ; Cortex A5 avec coprocesseur de chiffrement dédié
Système ; Mémoire ; 512 Mo Flash, 512 Mo RAM, carte microSD jusqu'à 32 Go en option
Sécurité ; Certification ; Conforme aux normes PCI PTS en vigueur, lecteurs EMV niveau 1 (durée de vie 500 000 cycles)
Sécurité ; Modules de sécurité ; Jusqu'à 3 emplacements SAM, 2 emplacements SIM en option, verrou Kensington disponible
